Evaluation Results
==================


NDCG@5 Results:
Mean: 0.2817
Per-query results:
  Query 3385681: 0.2465
  Query 3389038: 0.2311
  Query 3396066: 0.0982
  Query 34041: 0.1724
  Query 3411123: 0.1635
  Query 3496147: 0.0716
  Query 3499881: 0.5553
  Query 3507491: 0.1118
  Query 354733: 0.2594
  Query 3552010: 0.1022
  Query 3554263: 0.3440
  Query 3559048: 0.3891
  Query 3577501: 0.2110
  Query 3639660: 0.3878
  Query 3640705: 0.1232
  Query 3698636: 0.1539
  Query 3714728: 0.4069
  Query 3723508: 0.3231
  Query 3778229: 0.2088
  Query 3825386: 0.0633
  Query 3872395: 0.2550
  Query 3874326: 0.2528
  Query 387874: 0.1524
  Query 3910925: 0.1690
  Query 3960080: 0.1778
  Query 3971195: 0.4592
  Query 3990512: 0.0000
  Query 4003223: 0.3921
  Query 4012558: 0.3071
  Query 4018891: 0.1691
  Query 402514: 0.0377
  Query 4126337: 0.4051
  Query 4153592: 0.0773
  Query 4165406: 0.3681
  Query 4185395: 0.1164
  Query 4185501: 0.0620
  Query 4190287: 0.3354
  Query 4196421: 0.5102
  Query 4197214: 0.1793
  Query 421753: 0.4007
  Query 4250296: 0.1753
  Query 4256593: 0.1923
  Query 4278201: 0.4494
  Query 4283542: 0.2505
  Query 4288761: 0.2180
  Query 4311093: 0.3671
  Query 4357460: 0.3485
  Query 4365565: 0.2408
  Query 4367654: 0.1524
  Query 4372730: 0.0000
  Query 4377861: 0.6605
  Query 4385316: 0.2316
  Query 4406669: 0.3375
  Query 443848: 0.5068
  Query 4448097: 0.4245
  Query 4462511: 0.1866
  Query 4467100: 0.1870
  Query 4473137: 0.2081
  Query 4473331: 0.2223
  Query 456214: 0.3396
  Query 474417: 0.5397
  Query 481173: 0.5451
  Query 484496: 0.1657
  Query 551239: 0.2659
  Query 558570: 0.0596
  Query 654124: 0.1003
  Query 667488: 0.5577
  Query 676028: 0.5168
  Query 707303: 0.1293
  Query 714612: 0.1910
  Query 746920: 0.2954
  Query 761742: 0.5892
  Query 765138: 0.4306
  Query 785823: 0.0816
  Query 78762: 0.0000
  Query 788976: 0.0134
  Query 821387: 0.2395
  Query 823384: 0.4135
  Query 8293: 0.3800
  Query 849221: 0.2098
  Query 851124: 0.4109
  Query 896725: 0.1843
  Query 922849: 0.1272
  Query 949154: 0.2970
  Query 953489: 0.0633
